"","mids","author","zmz","kw"
"1",5382023,"九條","伦敦之心字幕组",""
"2",26666749,"来一发就走字幕组","来一发就走字幕组",""
"3",97990,"小山君","大喜利王字幕组",""
"4",8665350,"叔叔","4431字幕组","字幕"
"5",381936,"汉中则为橙","风物诗字幕组","风物诗字幕组"
"6",764931,"sclarkca_","hitori字幕组","字幕"
"7",2916169,"Babyhellface","水曜侦探事务所(仮)","中字"
"8",402556474,"6222C字幕组","6222C字幕组","字幕"
"9",576772,"nonkotori","nonkotori字幕组","字幕"
"10",1464994,"翅膀包工队字幕组","翅膀包工队字幕组","翅膀包工"
"11",2092340,"永远的新规","永远的新规","中字"
"12",1878868,"345channel","OWALIAR字幕组","字幕"
